Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"DC Barrel Jack","To connect the board to a power supply",1,0.44,"https://www.daraz.com.np/products/2-pcs-set-universal-dc-female-jack-connector-5v9v12v-i123504998-s1033563120.html?c=&channelLpJumpArgs=&clickTrackInfo=query%253Adc%252Bfemale%252Bjack%253Bnid%253A123504998%253Bsrc%253ALazadaMainSrp%253Brn%253A66ab9384021de35721aa43fa2a02c2e6%253Bregion%253Anp%253Bsku%253A123504998_NP%253Bprice%253A65%253Bclient%253Adesktop%253Bsupplier_id%253A1009688%253Bsession_id%253A%253Bbiz_source%253Ah5_external%253Bslot%253A6%253Butlog_bucket_id%253A470687%253Basc_category_id%253A10000485%253Bitem_id%253A123504998%253Bsku_id%253A1033563120%253Bshop_id%253A19504%253BtemplateInfo%253A&freeshipping=0&fs_ab=1&fuse_fs=&lang=en&location=Lumbini%20Province&price=65&priceCompare=skuId%3A1033563120%3Bsource%3Alazada-search-voucher%3Bsn%3A66ab9384021de35721aa43fa2a02c2e6%3BoriginPrice%3A6500%3BdisplayPrice%3A6500%3BsinglePromotionId%3A-1%3BsingleToolCode%3AmockedSalePrice%3BvoucherPricePlugin%3A0%3Btimestamp%3A1776157121949&ratingscore=3.0&request_id=66ab9384021de35721aa43fa2a02c2e6&review=1&sale=8&search=1&source=search&spm=a2a0e.searchlist.list.6&stock=1","Daraz Nepal"
"1uF Capacitor","To store charge",1,0.88,"https://www.daraz.com.np/products/100pcs-50v-monolithic-ceramic-capacitor-10pf-10uf-22pf-47nf-220nf-1nf-47uf-1uf-100nf-330nf-01uf-102-104-105-106-103-473-334-i361431195-s1589617283.html","Daraz Nepal"
"220nF capacitor","To store charge",1,0.88,"https://www.daraz.com.np/products/100pcs-50v-monolithic-ceramic-capacitor-10pf-10uf-22pf-47nf-220nf-1nf-47uf-1uf-100nf-330nf-01uf-102-104-105-106-103-473-334-i361431195-s1589617279.html","Daraz Nepal"
"100nF Capactor","To store charge",1,1.82,"https://www.daraz.com.np/products/100pcs-ceramic-capacitor-50v-1pf-100nf-01uf-104-47pf-10pf-22pf-33pf-47pf-100pf-101-220pf-10nf-330pf-470pf-1nf-103-47nf-473-i185058068-s1223273942.html","Daraz Nepal"
"Ceramic capacitors","To store charge",1,7.91,"https://www.daraz.com.np/products/7-value-components-big-kit-35mm-led-diodes-and-triodes-ceramics-electrolytic-ceramics-capacitors-metal-film-resistors-i416694596-s1793736724.html","Daraz Nepal"
"Capacitors","To store charge",1,2.97,"https://www.daraz.com.np/products/15-200-01-220-i182333371-s1214207392.html?c=&channelLpJumpArgs=&clickTrackInfo=query%253Acapacitor%252Bkit%253Bnid%253A182333371%253Bsrc%253ALazadaMainSrp%253Brn%253A02921fc815ed4686e43cfafe5bc7ecd9%253Bregion%253Anp%253Bsku%253A182333371_NP%253Bprice%253A443%253Bclient%253Adesktop%253Bsupplier_id%253A900262304077%253Bsession_id%253A%253Bbiz_source%253Ahttps%253A%252F%252Fwww.daraz.com.np%252F%253Bslot%253A0%253Butlog_bucket_id%253A470687%253Basc_category_id%253A10000489%253Bitem_id%253A182333371%253Bsku_id%253A1214207392%253Bshop_id%253A167264%253BtemplateInfo%253A&freeshipping=0&fs_ab=1&fuse_fs=&lang=en&location=Overseas&price=443&priceCompare=skuId%3A1214207392%3Bsource%3Alazada-search-voucher%3Bsn%3A02921fc815ed4686e43cfafe5bc7ecd9%3BoriginPrice%3A44300%3BdisplayPrice%3A44300%3BsinglePromotionId%3A-1%3BsingleToolCode%3AmockedSalePrice%3BvoucherPricePlugin%3A0%3Btimestamp%3A1776155387473&ratingscore=4.0&request_id=02921fc815ed4686e43cfafe5bc7ecd9&review=4&sale=24&search=1&source=search&spm=a2a0e.searchlist.list.0&stock=1","Daraz Nepal"
"2.2M Resistor","To resist current",1,0.66,"https://www.daraz.com.np/products/50pcs-12w-1-metal-film-resistor-1r22m-100r-220r-330r-1k-15k-22k-33k-47k-10k-22k-47k-100k-100-220-330-1k5-2k2-3k3-4k7-ohm-i183239816-s1217295871.html","Daraz Nepal"
"Resistors","To resist current",1,3.92,"https://www.daraz.com.np/products/30-kinds-14w-resistance-1-accuracy-metal-film-resistor-pack-600pcs-in-1-set-i156026363-s1122597672.html?c=&channelLpJumpArgs=&clickTrackInfo=query%253Aresistor%252Bkit%253Bnid%253A156026363%253Bsrc%253ALazadaMainSrp%253Brn%253Ab4414b132edc13fa9496611264a51839%253Bregion%253Anp%253Bsku%253A156026363_NP%253Bprice%253A585%253Bclient%253Adesktop%253Bsupplier_id%253A900156978057%253Bsession_id%253A%253Bbiz_source%253Ahttps%253A%252F%252Fwww.daraz.com.np%252F%253Bslot%253A3%253Butlog_bucket_id%253A470687%253Basc_category_id%253A10000489%253Bitem_id%253A156026363%253Bsku_id%253A1122597672%253Bshop_id%253A87928%253BtemplateInfo%253A&freeshipping=0&fs_ab=1&fuse_fs=&lang=en&location=Bagmati%20Province&price=585&priceCompare=skuId%3A1122597672%3Bsource%3Alazada-search-voucher%3Bsn%3Ab4414b132edc13fa9496611264a51839%3BoriginPrice%3A58500%3BdisplayPrice%3A58500%3BsinglePromotionId%3A-1%3BsingleToolCode%3A-1%3BvoucherPricePlugin%3A0%3Btimestamp%3A1776154931675&ratingscore=4.375&request_id=b4414b132edc13fa9496611264a51839&review=8&sale=31&search=1&source=search&spm=a2a0e.searchlist.list.3&stock=1","Daraz Nepal"
"LDR","Used to change resistance according to light source for tremolo effect",1,2.27,"https://www.daraz.com.np/products/50-5528-5-ldr5528-i182298738-s1214149089.html?c=&channelLpJumpArgs=&clickTrackInfo=query%253AGL5528%253Bnid%253A182298738%253Bsrc%253ALazadaMainSrp%253Brn%253Ada9335cc8fd44d9cc8c9900113479464%253Bregion%253Anp%253Bsku%253A182298738_NP%253Bprice%253A339%253Bclient%253Adesktop%253Bsupplier_id%253A900262304077%253Bsession_id%253A%253Bbiz_source%253Ah5_external%253Bslot%253A0%253Butlog_bucket_id%253A470687%253Basc_category_id%253A10000489%253Bitem_id%253A182298738%253Bsku_id%253A1214149089%253Bshop_id%253A167264%253BtemplateInfo%253A&freeshipping=0&fs_ab=1&fuse_fs=&lang=en&location=Overseas&price=339&priceCompare=skuId%3A1214149089%3Bsource%3Alazada-search-voucher%3Bsn%3Ada9335cc8fd44d9cc8c9900113479464%3BoriginPrice%3A33900%3BdisplayPrice%3A33900%3BsinglePromotionId%3A-1%3BsingleToolCode%3AmockedSalePrice%3BvoucherPricePlugin%3A0%3Btimestamp%3A1776154450304&ratingscore=5.0&request_id=da9335cc8fd44d9cc8c9900113479464&review=1&sale=17&search=1&source=search&spm=a2a0e.searchlist.list.0&stock=1","Daraz Nepal"
"LED","To indicate status of each section",1,0.87,"https://www.daraz.com.np/products/led-5mm-mix-colors-pack-of-50-pcs-i129083282-s1037089095.html?c=&channelLpJumpArgs=&clickTrackInfo=query%253Aled%253Bnid%253A129083282%253Bsrc%253ALazadaMainSrp%253Brn%253Af736254f8f40c5599a8109bb3b8d54c6%253Bregion%253Anp%253Bsku%253A129083282_NP%253Bprice%253A130%253Bclient%253Adesktop%253Bsupplier_id%253A1010313%253Bsession_id%253A%253Bbiz_source%253Ah5_external%253Bslot%253A25%253Butlog_bucket_id%253A470687%253Basc_category_id%253A10000810%253Bitem_id%253A129083282%253Bsku_id%253A1037089095%253Bshop_id%253A20069%253BtemplateInfo%253A&freeshipping=0&fs_ab=1&fuse_fs=&lang=en&location=Bagmati%20Province&price=1.3E%202&priceCompare=skuId%3A1037089095%3Bsource%3Alazada-search-voucher%3Bsn%3Af736254f8f40c5599a8109bb3b8d54c6%3BoriginPrice%3A13000%3BdisplayPrice%3A13000%3BsinglePromotionId%3A-1%3BsingleToolCode%3A-1%3BvoucherPricePlugin%3A0%3Btimestamp%3A1776154121253&qSellingPoint=p--led&ratingscore=4.2272727272727275&request_id=f736254f8f40c5599a8109bb3b8d54c6&review=22&sale=143&search=1&source=search&spm=a2a0e.searchlist.list.25&stock=1","Daraz Nepal"
